                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4731,                 2.3314,                 1.2301,                0.65152,                0.36771,                 0.4424,                0.27407,                  1.082,                0.97767,                  1.021,             0.00010062,             0.00010062,             0.00010062
                      2,                 1.3613,                 1.3194,                 1.1625,                0.55868,                0.44107,                0.49431,                  0.319,                 1.1112,                0.93546,                 1.0297,             0.00019363,             0.00019363,             0.00019363
                      3,                 1.3654,                 1.2349,                  1.165,                0.52579,                0.47031,                0.49262,                0.29259,                 1.1255,                0.91916,                   1.04,             0.00027865,             0.00027865,             0.00027865
                      4,                 1.3456,                 1.1912,                 1.1571,                0.62399,                0.50858,                0.55211,                0.32502,                 1.1131,                0.87652,                 1.0525,               0.000267,               0.000267,               0.000267
                      5,                  1.324,                 1.1407,                  1.141,                0.53413,                 0.4871,                0.51759,                 0.2764,                 1.0964,                 0.8881,                 1.0295,               0.000267,               0.000267,               0.000267
                      6,                 1.3046,                 1.0992,                 1.1329,                0.68476,                0.46309,                0.51602,                0.31255,                 1.0962,                 0.8522,                 1.0295,               0.000255,               0.000255,               0.000255
                      7,                 1.2902,                 1.0661,                 1.1224,                0.69979,                0.44905,                0.56111,                0.33746,                 1.0632,                0.82526,                 1.0126,             0.00024301,             0.00024301,             0.00024301
                      8,                 1.2769,                 1.0359,                 1.1144,                0.52597,                0.57571,                0.56761,                0.34267,                 1.0889,                0.81309,                 1.0291,             0.00023101,             0.00023101,             0.00023101
                      9,                 1.2666,                 1.0228,                 1.1069,                0.54834,                0.54229,                0.53307,                0.32556,                 1.0386,                 0.8107,                 1.0008,             0.00021901,             0.00021901,             0.00021901
                     10,                 1.2507,                 1.0065,                 1.1046,                 0.5848,                0.65618,                0.58554,                0.33911,                 1.0575,                0.77111,                 1.0317,             0.00020701,             0.00020701,             0.00020701
                     11,                 1.2355,                 0.9848,                 1.0969,                0.56818,                0.60622,                0.59988,                 0.3452,                 1.0728,                0.79349,                  1.021,             0.00019501,             0.00019501,             0.00019501
                     12,                  1.225,                0.96558,                 1.0907,                0.75395,                0.48681,                0.61661,                0.35756,                 1.0548,                0.76598,                 1.0236,             0.00018301,             0.00018301,             0.00018301
                     13,                 1.2195,                0.94994,                 1.0826,                0.76792,                0.54756,                0.62581,                0.36241,                 1.0578,                0.76698,                  1.026,             0.00017101,             0.00017101,             0.00017101
                     14,                 1.2063,                0.93023,                 1.0751,                0.65106,                0.57576,                0.66649,                0.39387,                 1.0352,                0.75875,                 1.0149,             0.00015901,             0.00015901,             0.00015901
                     15,                 1.1893,                0.90957,                 1.0676,                0.74021,                0.57229,                0.63649,                0.38904,                 1.0343,                0.74909,                 1.0237,             0.00014702,             0.00014702,             0.00014702
                     16,                 1.1877,                 0.8888,                 1.0742,                0.63835,                0.58384,                0.62212,                0.38606,                 1.0355,                0.73924,                 1.0213,             0.00013502,             0.00013502,             0.00013502
                     17,                  1.171,                0.86017,                 1.0655,                0.63033,                0.57662,                0.63417,                0.39315,                 1.0497,                0.73821,                 1.0387,             0.00012302,             0.00012302,             0.00012302
                     18,                 1.1539,                0.84718,                 1.0584,                0.73537,                0.53325,                0.58958,                0.36072,                 1.0434,                 0.7358,                 1.0287,             0.00011102,             0.00011102,             0.00011102
                     19,                 1.1447,                 0.8276,                 1.0517,                0.63547,                0.60137,                0.60321,                0.35117,                 1.0301,                0.75016,                 1.0256,              9.902e-05,              9.902e-05,              9.902e-05
                     20,                 1.1303,                  0.814,                 1.0497,                0.76312,                0.54335,                0.62231,                0.36344,                 1.0367,                0.74933,                 1.0309,             8.7022e-05,             8.7022e-05,             8.7022e-05
                     21,                 1.1262,                0.79866,                 1.0393,                0.69726,                0.53985,                0.59115,                0.36838,                 1.0278,                0.73787,                 1.0178,             7.5023e-05,             7.5023e-05,             7.5023e-05
                     22,                 1.1116,                0.78586,                  1.037,                 0.7039,                0.58401,                0.63573,                0.37977,                 1.0433,                0.73522,                 1.0178,             6.3024e-05,             6.3024e-05,             6.3024e-05
                     23,                 1.1022,                0.77386,                 1.0307,                0.63446,                0.60266,                0.60683,                0.39604,                 1.0233,                0.71677,                 1.0132,             5.1025e-05,             5.1025e-05,             5.1025e-05
                     24,                 1.0952,                0.76538,                 1.0261,                0.73357,                0.48668,                0.60017,                0.37565,                 1.0193,                0.72096,                 1.0079,             3.9026e-05,             3.9026e-05,             3.9026e-05
                     25,                 1.0817,                0.74879,                 1.0186,                0.78155,                0.46932,                  0.601,                0.37639,                 1.0078,                0.70603,                 1.0041,             2.7028e-05,             2.7028e-05,             2.7028e-05
